i	j	confidence	interest	lift	std_lift
('Myocardial Infarction', 'Streptococcal sore throat (disorder)')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Chronic kidney disease stage 2 (disorder)', 'Hypertension')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Chronic kidney disease stage 2 (disorder)', 'Acute bronchitis (disorder)')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Myocardial Infarction', 'Osteoporosis (disorder)')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Rupture of appendix', 'Diabetes')	Appendicitis	1.0	0.9534087551767569	21.463259970704392	1.0
('Hyperlipidemia', 'Myocardial Infarction')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Seizure disorder', 'Diabetic renal disease (disorder)')	History of single seizure (situation)	1.0	0.9631186840109263	27.113999953153915	1.0
('Myocardial Infarction', 'Viral sinusitis (disorder)')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Sprain of ankle', 'Myocardial Infarction')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Rupture of appendix', 'Hypertriglyceridemia (disorder)')	Appendicitis	1.0	0.9534087551767569	21.463259970704392	1.0
('Rupture of appendix', 'Metabolic syndrome X (disorder)')	Appendicitis	1.0	0.9534087551767569	21.463259970704392	1.0
('Rupture of appendix', 'Chronic congestive heart failure (disorder)')	Appendicitis	1.0	0.9534087551767569	21.463259970704392	1.0
('Neuropathy due to type 2 diabetes mellitus (disorder)', 'Prediabetes')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Rupture of appendix', 'Osteoarthritis of knee')	Appendicitis	1.0	0.9534087551767569	21.463259970704392	1.0
('Neuropathy due to type 2 diabetes mellitus (disorder)', 'Polyp of colon')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Preeclampsia', 'Blighted ovum')	Miscarriage in first trimester	1.0	0.8255892907432587	5.733592875469306	1.0
('Sprain of ankle', 'Chronic kidney disease stage 1 (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Hypertension', 'Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Chronic kidney disease stage 1 (disorder)', 'Hyperlipidemia')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Diabetic renal disease (disorder)', 'Myocardial Infarction')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Recurrent rectal polyp', 'Chronic kidney disease stage 1 (disorder)')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Hyperglycemia (disorder)', 'Prediabetes')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Smokes tobacco daily', 'Diabetic renal disease (disorder)')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('History of myocardial infarction (situation)', 'Hypertension')	Myocardial Infarction	1.0	0.978686533434464	46.91869325551232	1.0
('History of myocardial infarction (situation)', 'Body mass index 30+ - obesity (finding)')	Myocardial Infarction	1.0	0.978686533434464	46.91869325551232	1.0
('Diabetic renal disease (disorder)', 'Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Diabetic renal disease (disorder)', 'Osteoarthritis of knee')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Osteoarthritis of knee', 'Chronic kidney disease stage 1 (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Alcoholism', 'Diabetic renal disease (disorder)')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Miscarriage in first trimester', 'Myocardial Infarction')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Acute bacterial sinusitis (disorder)', 'Myocardial Infarction')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Myocardial Infarction', 'Carcinoma in situ of prostate (disorder)')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Hyperglycemia (disorder)', 'Diabetic retinopathy associated with type II diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Neoplasm of prostate', 'Myocardial Infarction')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('History of appendectomy', 'Fracture of forearm')	Appendicitis	1.0	0.9534087551767569	21.463259970704392	1.0
"(""Alzheimer's disease (disorder)"", 'Tubal pregnancy')"	Miscarriage in first trimester	1.0	0.8255892907432587	5.733592875469306	1.0
('Osteoarthritis of knee', 'Myocardial Infarction')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('History of appendectomy', 'Diabetic retinopathy associated with type II diabetes mellitus (disorder)')	Appendicitis	1.0	0.9534087551767569	21.463259970704392	1.0
('Sprain of wrist', 'Myocardial Infarction')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Diabetic renal disease (disorder)', 'Recurrent rectal polyp')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Myocardial Infarction', 'Concussion with no loss of consciousness')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Fracture of forearm', 'Myocardial Infarction')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Diabetic renal disease (disorder)', 'Chronic congestive heart failure (disorder)')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Appendicitis', 'Myocardial Infarction')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Myocardial Infarction', 'Diabetes')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Myocardial Infarction', 'Hypertriglyceridemia (disorder)')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Myocardial Infarction', 'Metabolic syndrome X (disorder)')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Myocardial Infarction', 'Stroke')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Diabetic renal disease (disorder)', 'Diabetic retinopathy associated with type II diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Myocardial Infarction', 'Chronic kidney disease stage 1 (disorder)')	History of myocardial infarction (situation)	1.0	0.978686533434464	46.91869325551232	1.0
('Diabetic renal disease (disorder)', 'Prediabetes')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Hyperglycemia (disorder)', 'Prediabetes')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('History of appendectomy', 'Carcinoma in situ of prostate (disorder)')	Appendicitis	1.0	0.9534087551767569	21.463259970704392	1.0
('History of appendectomy', 'Neoplasm of prostate')	Appendicitis	1.0	0.9534087551767569	21.463259970704392	1.0
('History of appendectomy', 'Chronic kidney disease stage 1 (disorder)')	Appendicitis	1.0	0.9534087551767569	21.463259970704392	1.0
('Cardiac Arrest', 'Seizure disorder')	History of single seizure (situation)	1.0	0.9631186840109263	27.113999953153915	1.0
('Chronic kidney disease stage 2 (disorder)', 'Microalbuminuria due to type 2 diabetes mellitus (disorder)')	Diabetic renal disease (disorder)	1.0	0.9701022306920138	33.44731139299026	1.0
('Chronic kidney disease stage 1 (disorder)', 'Anemia (disorder)')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Hypertension', 'Microalbuminuria due to type 2 diabetes mellitus (disorder)')	Diabetic renal disease (disorder)	1.0	0.9701022306920138	33.44731139299026	1.0
('Hyperlipidemia', 'Diabetic retinopathy associated with type II diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Hyperlipidemia', 'Neuropathy due to type 2 diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Neuropathy due to type 2 diabetes mellitus (disorder)', 'Atrial Fibrillation')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Hyperglycemia (disorder)', 'Atrial Fibrillation')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Polyp of colon', 'Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)')	Diabetic retinopathy associated with type II diabetes mellitus (disorder)	1.0	0.9823286206199496	56.58867813844349	1.0
('Macular edema and retinopathy due to type 2 diabetes mellitus (disorder)', 'Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)')	Diabetic retinopathy associated with type II diabetes mellitus (disorder)	1.0	0.9823286206199496	56.58867813844349	1.0
('Sinusitis (disorder)', 'Epilepsy')	History of single seizure (situation)	1.0	0.9631186840109263	27.113999953153915	1.0
('Sprain of ankle', 'Epilepsy')	History of single seizure (situation)	1.0	0.9631186840109263	27.113999953153915	1.0
"('Chronic kidney disease stage 1 (disorder)', ""Alzheimer's disease (disorder)"")"	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
"('Metabolic syndrome X (disorder)', ""Alzheimer's disease (disorder)"")"	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Macular edema and retinopathy due to type 2 diabetes mellitus (disorder)', 'Hypertriglyceridemia (disorder)')	Diabetic retinopathy associated with type II diabetes mellitus (disorder)	1.0	0.9823286206199496	56.58867813844349	1.0
('Neuropathy due to type 2 diabetes mellitus (disorder)', 'Coronary Heart Disease')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Metabolic syndrome X (disorder)', 'Hypertension')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Neuropathy due to type 2 diabetes mellitus (disorder)', 'Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Neuropathy due to type 2 diabetes mellitus (disorder)', 'Chronic congestive heart failure (disorder)')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)', 'Diabetic renal disease (disorder)')	Diabetic retinopathy associated with type II diabetes mellitus (disorder)	1.0	0.9823286206199496	56.58867813844349	1.0
('Chronic congestive heart failure (disorder)', 'Diabetic retinopathy associated with type II diabetes mellitus (disorder)')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Sinusitis (disorder)', 'Pathological fracture due to osteoporosis (disorder)')	Osteoporosis (disorder)	1.0	0.9522269773613528	20.9323158713224	1.0
('Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)', 'Body mass index 30+ - obesity (finding)')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Fracture of clavicle', 'Carcinoma in situ of prostate (disorder)')	Neoplasm of prostate	1.0	0.9749874306526213	39.979899150376454	1.0
('Carcinoma in situ of prostate (disorder)', 'Prediabetes')	Neoplasm of prostate	1.0	0.9749874306526213	39.979899150376454	1.0
('Sprain of ankle', 'Carcinoma in situ of prostate (disorder)')	Neoplasm of prostate	1.0	0.9749874306526213	39.979899150376454	1.0
('Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)', 'Prediabetes')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Osteoarthritis of knee', 'Carcinoma in situ of prostate (disorder)')	Neoplasm of prostate	1.0	0.9749874306526213	39.979899150376454	1.0
('Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)', 'Osteoporosis (disorder)')	Diabetic retinopathy associated with type II diabetes mellitus (disorder)	1.0	0.9823286206199496	56.58867813844349	1.0
('Impacted molars', 'Carcinoma in situ of prostate (disorder)')	Neoplasm of prostate	1.0	0.9749874306526213	39.979899150376454	1.0
('Drug overdose', 'Carcinoma in situ of prostate (disorder)')	Neoplasm of prostate	1.0	0.9749874306526213	39.979899150376454	1.0
('Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)', 'Hypertension')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Atrial Fibrillation', 'Seizure disorder')	History of single seizure (situation)	1.0	0.9631186840109263	27.113999953153915	1.0
('Diabetic renal disease (disorder)', 'Fracture of clavicle')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)', 'Body mass index 30+ - obesity (finding)')	Diabetic retinopathy associated with type II diabetes mellitus (disorder)	1.0	0.9823286206199496	56.58867813844349	1.0
('Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)', 'Hypertension')	Diabetic retinopathy associated with type II diabetes mellitus (disorder)	1.0	0.9823286206199496	56.58867813844349	1.0
('Chronic kidney disease stage 1 (disorder)', 'Diabetic retinopathy associated with type II diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Chronic kidney disease stage 1 (disorder)', 'Prediabetes')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Chronic kidney disease stage 1 (disorder)', 'Atrial Fibrillation')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Body mass index 30+ - obesity (finding)', 'Neuropathy due to type 2 diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Neuropathy due to type 2 diabetes mellitus (disorder)', 'Atrial Fibrillation')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Seizure disorder', 'Chronic kidney disease stage 1 (disorder)')	History of single seizure (situation)	1.0	0.9631186840109263	27.113999953153915	1.0
('Diabetic renal disease (disorder)', 'Atrial Fibrillation')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Chronic kidney disease stage 1 (disorder)', 'Coronary Heart Disease')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Diabetic renal disease (disorder)', 'Sprain of ankle')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Rupture of appendix', 'Osteoporosis (disorder)')	Appendicitis	1.0	0.9534087551767569	21.463259970704392	1.0
('History of appendectomy', 'Suspected lung cancer (situation)')	Appendicitis	1.0	0.9534087551767569	21.463259970704392	1.0
('Rupture of appendix', 'Stroke')	Appendicitis	1.0	0.9534087551767569	21.463259970704392	1.0
('History of appendectomy', 'Tubal pregnancy')	Appendicitis	1.0	0.9534087551767569	21.463259970704392	1.0
('Rupture of appendix', 'Sprain of ankle')	Appendicitis	1.0	0.9534087551767569	21.463259970704392	1.0
('Rupture of appendix', 'Coronary Heart Disease')	Appendicitis	1.0	0.9534087551767569	21.463259970704392	1.0
('Anemia (disorder)', 'Neuropathy due to type 2 diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Viral sinusitis (disorder)', 'Neuropathy due to type 2 diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
"('Neuropathy due to type 2 diabetes mellitus (disorder)', ""Alzheimer's disease (disorder)"")"	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)', 'Miscarriage in first trimester')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Macular edema and retinopathy due to type 2 diabetes mellitus (disorder)', 'Diabetes')	Diabetic retinopathy associated with type II diabetes mellitus (disorder)	1.0	0.9823286206199496	56.58867813844349	1.0
('Macular edema and retinopathy due to type 2 diabetes mellitus (disorder)', 'Metabolic syndrome X (disorder)')	Diabetic retinopathy associated with type II diabetes mellitus (disorder)	1.0	0.9823286206199496	56.58867813844349	1.0
('Diabetic retinopathy associated with type II diabetes mellitus (disorder)', 'Prediabetes')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Prediabetes', 'Body mass index 40+ - severely obese (finding)')	Body mass index 30+ - obesity (finding)	1.0	0.6841966588860535	3.1665276132692504	1.0
('Neuropathy due to type 2 diabetes mellitus (disorder)', 'Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)')	Diabetic retinopathy associated with type II diabetes mellitus (disorder)	1.0	0.9823286206199496	56.58867813844349	1.0
('Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)', 'Diabetic retinopathy associated with type II diabetes mellitus (disorder)')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Coronary Heart Disease', 'Diabetic retinopathy associated with type II diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Diabetes', 'Hyperglycemia (disorder)')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)', 'Acute bronchitis (disorder)')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)', 'Anemia (disorder)')	Hypertriglyceridemia (disorder)	1.0	0.9343525879033637	15.232892936098535	1.0
('Acute viral pharyngitis (disorder)', 'Diabetic retinopathy associated with type II diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Acute viral pharyngitis (disorder)', 'Neuropathy due to type 2 diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Viral sinusitis (disorder)', 'Diabetic retinopathy associated with type II diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Neuropathy due to type 2 diabetes mellitus (disorder)', 'Cardiac Arrest')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Chronic kidney disease stage 1 (disorder)', 'Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Diabetic renal disease (disorder)', 'Metastasis from malignant tumor of prostate (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Hyperglycemia (disorder)', 'Coronary Heart Disease')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Rupture of appendix', 'Metabolic syndrome X (disorder)')	History of appendectomy	1.0	0.9534087551767569	21.463259970704392	1.0
('Macular edema and retinopathy due to type 2 diabetes mellitus (disorder)', 'Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)')	Metabolic syndrome X (disorder)	1.0	0.9357321925606741	15.559889777538812	1.0
('Rupture of appendix', 'Osteoarthritis of knee')	History of appendectomy	1.0	0.9534087551767569	21.463259970704392	1.0
('Rupture of appendix', 'Hyperlipidemia')	History of appendectomy	1.0	0.9534087551767569	21.463259970704392	1.0
('Rupture of appendix', 'Chronic congestive heart failure (disorder)')	History of appendectomy	1.0	0.9534087551767569	21.463259970704392	1.0
('Chronic kidney disease stage 1 (disorder)', 'Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)')	Metabolic syndrome X (disorder)	1.0	0.9357321925606741	15.559889777538812	1.0
('Diabetic renal disease (disorder)', 'Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)')	Metabolic syndrome X (disorder)	1.0	0.9357321925606741	15.559889777538812	1.0
('Hypertension', 'Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)')	Metabolic syndrome X (disorder)	1.0	0.9357321925606741	15.559889777538812	1.0
('Prediabetes', 'Diabetic retinopathy associated with type II diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Rupture of appendix', 'Hypertriglyceridemia (disorder)')	History of appendectomy	1.0	0.9534087551767569	21.463259970704392	1.0
('Body mass index 30+ - obesity (finding)', 'Neuropathy due to type 2 diabetes mellitus (disorder)')	Metabolic syndrome X (disorder)	1.0	0.9357321925606741	15.559889777538812	1.0
('Rupture of appendix', 'Diabetes')	History of appendectomy	1.0	0.9534087551767569	21.463259970704392	1.0
('Anemia (disorder)', 'Rupture of appendix')	History of appendectomy	1.0	0.9534087551767569	21.463259970704392	1.0
('Chronic kidney disease stage 1 (disorder)', 'Acute bronchitis (disorder)')	Metabolic syndrome X (disorder)	1.0	0.9357321925606741	15.559889777538812	1.0
('Body mass index 30+ - obesity (finding)', 'Diabetic retinopathy associated with type II diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Neuropathy due to type 2 diabetes mellitus (disorder)', 'Chronic congestive heart failure (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Chronic kidney disease stage 2 (disorder)', 'Prediabetes')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Polyp of colon', 'Seizure disorder')	History of single seizure (situation)	1.0	0.9631186840109263	27.113999953153915	1.0
('Acute viral pharyngitis (disorder)', 'Diabetic renal disease (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Normal pregnancy', 'History of single seizure (situation)')	Seizure disorder	1.0	0.9631186840109263	27.113999953153915	1.0
('Appendicitis', 'Tubal pregnancy')	History of appendectomy	1.0	0.9534087551767569	21.463259970704392	1.0
('Rupture of appendix', 'Sprain of ankle')	History of appendectomy	1.0	0.9534087551767569	21.463259970704392	1.0
('Rupture of appendix', 'Coronary Heart Disease')	History of appendectomy	1.0	0.9534087551767569	21.463259970704392	1.0
('Appendicitis', 'Chronic kidney disease stage 1 (disorder)')	History of appendectomy	1.0	0.9534087551767569	21.463259970704392	1.0
('Appendicitis', 'Diabetic renal disease (disorder)')	History of appendectomy	1.0	0.9534087551767569	21.463259970704392	1.0
('Appendicitis', 'Carcinoma in situ of prostate (disorder)')	History of appendectomy	1.0	0.9534087551767569	21.463259970704392	1.0
('Appendicitis', 'Fetus with unknown complication')	History of appendectomy	1.0	0.9534087551767569	21.463259970704392	1.0
('Appendicitis', 'Neoplasm of prostate')	History of appendectomy	1.0	0.9534087551767569	21.463259970704392	1.0
('Miscarriage in first trimester', 'Rupture of appendix')	History of appendectomy	1.0	0.9534087551767569	21.463259970704392	1.0
('Polyp of colon', 'Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)')	Metabolic syndrome X (disorder)	1.0	0.9357321925606741	15.559889777538812	1.0
('Chronic congestive heart failure (disorder)', 'Diabetic retinopathy associated with type II diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)', 'Body mass index 30+ - obesity (finding)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Hypertension', 'Diabetic retinopathy associated with type II diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Rupture of appendix', 'Streptococcal sore throat (disorder)')	History of appendectomy	1.0	0.9534087551767569	21.463259970704392	1.0
('Neuropathy due to type 2 diabetes mellitus (disorder)', 'Diabetic retinopathy associated with type II diabetes mellitus (disorder)')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Hypertension', 'Neuropathy due to type 2 diabetes mellitus (disorder)')	Metabolic syndrome X (disorder)	1.0	0.9357321925606741	15.559889777538812	1.0
('Hyperglycemia (disorder)', 'Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)')	Metabolic syndrome X (disorder)	1.0	0.9357321925606741	15.559889777538812	1.0
('Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)', 'Prediabetes')	Diabetes	1.0	0.9332174592122517	14.97397355962021	1.0
('Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)', 'Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder)')	Metabolic syndrome X (disorder)	1.0	0.9357321925606741	15.559889777538812	1.0
('Neuropathy due to type 2 diabetes mellitus (disorder)', 'Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder)')	Metabolic syndrome X (disorder)	1.0	0.9357321925606741	15.559889777538812	1.0
('Viral sinusitis (disorder)', 'Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder)')	Metabolic syndrome X (disorder)	1.0	0.9357321925606741	15.559889777538812	1.0
('Osteoarthritis of hip', 'Appendicitis')	History of appendectomy	1.0	0.9534087551767569	21.463259970704392	1.0
